id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,big_diff
612,71.71296,40.91001,152.35506,3.55605,8.33716,3.570895,0.380623,0,1,0,210.987039,310.839995,-27.644941,3.55605,30.013771,0.098505,4,0.049588,0,1,0.45,12.902749,0
613,71.72169,40.90881,152.3619,3.56696,8.34855,3.616827,0.375888,0,1,0,210.97831,310.841193,-27.638099,3.566956,30.054774,0.040002,4,0.096951,0,1,0.2,12.935186,0
614,71.72838,40.90892,152.3689,3.56715,8.36096,3.558047,0.374349,0,1,0,210.971619,310.841085,-27.631103,3.567149,30.099447,0.025418,4,0.114702,0,1,0.45,12.915005,0
615,71.74839,40.90747,152.41606,3.5539,8.34317,3.385804,0.358654,0,1,0,210.951608,310.842527,-27.58394,3.553899,30.035411,0.12752,4,0.014045,0,1,0.8,12.906603,0
616,71.9317,43.6757,149.63639,4.10703,24.61366,0.206177,4,0,0,1,210.768298,308.074299,-30.363606,4.107033,88.609181,0.726804,4,0,0,0,0.6,3.198322,0
617,71.95966,43.20972,158.98026,4.01667,15.24515,0.152252,4,0,0,1,210.740343,308.540279,-21.019739,4.016673,54.882538,0.257855,0.14388,0,0,1,0.4,9.151271,0
618,72.40523,43.72206,153.11131,4.11397,24.71177,0.323574,4,0,0,1,210.294773,308.027938,-26.888693,4.113969,88.962378,0.050938,4,0.129353,0,1,0.4,3.685114,0
619,72.42657,43.20007,159.69081,4,15.21381,0.309154,4,0,0,1,210.273426,308.549926,-20.309191,4,54.7697,0.045409,4,0,0,1,0.75,9.330016,0
620,72.59064,43.18806,159.7345,3.86325,15.21017,0.446218,0.091489,0.018815,1,1,210.109364,308.561945,-20.265505,3.863252,54.756624,0.334407,4,0.018247,0,1,0.4,8.875256,0
621,72.77976,47.48997,141.01931,1,23.88355,0.549672,0.065916,0,0,1,209.920243,304.260034,-38.980692,1,85.980776,0.334907,0.433254,0,0,1,0.35,0.202555,0
622,72.94307,42.57579,145.28173,4.03338,24.70941,0.244389,4,0,0,1,209.756932,309.174215,-34.718274,4.033378,88.953862,0.581136,4,0,0,0,0.6,1.518964,0
623,73.41677,44.36218,151.41448,3.28972,24.9457,0.285195,4,0,0,1,209.283231,307.387823,-28.585522,3.289722,89.804505,0.19422,4,0.134442,0,1,0.65,2.345597,0
