x_0,y_0,theta,v_p,v_c,OF1,OF3,OF2,Simulator,SafeViol
49.299041,45.846489,108.835019,1.225261,18.041493,0.174043,0.055242,0,PreScan,False
49.591609,43.172448,108.248157,2.723954,20.731448,0.328018,0.048154,0,PreScan,True
49.591619,43.176781,108.250675,2.72418,20.715631,0.340795,0.04795,0,PreScan,True
49.595997,43.132254,107.499023,2.60304,21.039502,0.063371,0.161025,0.035019,PreScan,True
49.59687,43.128235,109.348325,2.692689,21.004479,0.09595,4,0,PreScan,True
50.665225,41.603889,64.288882,3.452452,23.704371,0.093766,0.045388,0.195977,PreScan,True
50.673142,41.734217,60.811596,3.448839,23.424538,0.037499,0.046017,0.190896,PreScan,True
50.673603,41.732199,60.757124,3.448999,23.424266,0.045831,0.046012,0.177182,PreScan,True
50.67702,41.666664,62.585247,3.460087,23.59944,0.08177,0.060255,0.07564,PreScan,True
50.684438,41.708005,61.906191,3.45642,23.593837,0.071018,0.06401,0.133261,PreScan,True
50.714211,36.382308,82.86771,4.314697,18.022384,0.032301,0.079563,0.058638,PreScan,False
50.984192,45.171685,126.43293,1.852167,19.0824,0.146078,0.167365,0,PreScan,True
50.984339,45.171526,126.446373,1.85217,19.081386,0.14566,0.167454,0,PreScan,True
51.003026,45.159261,126.75307,1.851861,19.103581,0.132106,4,0,PreScan,True
51.231422,41.816869,66.429918,1.412084,10.927088,0.577817,0.179858,0.012091,PreScan,False
51.817039,45.010145,73.45761,1,12.675028,0.227515,0.080676,0,PreScan,False
51.819014,45.020803,73.47397,1,12.682683,0.237269,0.080947,0,PreScan,False
51.819925,45.010966,73.461423,1,12.685454,0.225757,0.081021,0,PreScan,False
51.819957,45.010419,73.461496,1,12.68538,0.225223,0.08102,0,PreScan,False
51.819995,45.011724,73.464244,1,12.675522,0.229274,0.080666,0,PreScan,False
51.922053,44.728185,73.151189,1,12.56069,0.013744,0.081487,0,PreScan,False
51.922054,44.7282,73.151311,1,12.560735,0.013691,0.081471,0,PreScan,False
52.817045,38.955165,67.800534,4.594131,23.43733,0.520011,0.046504,0.111467,PreScan,True
52.819383,38.941664,67.800347,4.593851,23.434767,0.507515,0.046539,0.092159,PreScan,True
52.839343,39.066842,68.072756,4.574769,23.347921,0.639789,0.046623,0.014366,PreScan,True
52.948845,39.271516,76.130446,4.543706,23.600206,0.853156,0.056652,0.002578,PreScan,True
53.204358,41.272474,85.584841,2.433306,17.148081,0.107614,0.062822,0.241149,PreScan,False
53.20718,41.272225,85.543085,2.433303,17.144088,0.119519,0.063486,0.037728,PreScan,False
53.211772,41.270157,85.534302,2.433391,17.148391,0.113179,0.06328,0.107325,PreScan,False
53.247771,44.827658,160,4.763589,17.536334,0.091786,4,0,PreScan,True
53.484067,41.185873,86.916529,2.434751,17.15999,0.049888,0.068799,0.005712,PreScan,False
53.507164,38.596319,67.790034,4.598227,23.649604,0.20993,0.047934,0.254712,PreScan,True
53.514842,41.1931,86.924936,2.432453,17.201079,0.030872,0.064506,0.300814,PreScan,False
53.519541,38.564706,67.789546,4.59817,23.644823,0.186289,0.048691,0.196853,PreScan,True
53.525235,37.722969,66.790504,4.856597,23.540802,0.006858,0.077392,0.129763,PreScan,True
53.6042,41.499828,88.682799,2.43204,17.113703,0.353562,0.063624,0,PreScan,False
57.441811,46.949921,157.601845,2.009447,21.91379,0.024555,0.113528,0,PreScan,True
57.753646,47.726168,154.285998,1,22.054697,0.025224,0.412725,0,PreScan,True
57.831635,42.39982,152.122497,3.216745,10.643683,0.062103,4,0,PreScan,True
57.880778,42.62031,151.100559,3.300313,10.149661,0.907703,0.094164,0,PreScan,False
58.226131,40.540708,96.463013,2.07868,14.400004,0.034038,0.083041,0.260543,PreScan,False
58.227409,40.540565,96.462528,2.078622,14.399929,0.035297,0.083155,0.246089,PreScan,False
58.312613,44.20114,124.368088,1.515714,15.017072,0.012355,4,0,PreScan,True
58.439948,40.543504,96.427418,2.079931,14.415503,0.029695,0.093644,0.084471,PreScan,False
58.483393,40.511563,96.431631,2.086914,14.432006,0.004686,0.092258,0.212098,PreScan,False
58.56372,44.106068,150.605694,3.056441,14.494477,0.43723,0.224898,0,PreScan,True
58.568375,46.704434,115.718748,1.474591,20.29645,1.625764,0.176211,0,PreScan,True
59.090919,45.265066,135.902204,1.198259,14.24798,0.274594,0.068318,0,PreScan,False
59.462887,45.131419,88.216814,1.037043,16.592887,0.069261,0.060449,0,PreScan,False
59.462914,45.135125,88.215387,1.037301,16.592886,0.07326,0.060415,0,PreScan,False
59.462926,45.143134,88.239724,1.03734,16.591982,0.081199,0.060481,0,PreScan,False
59.462931,45.133022,88.218611,1.037122,16.592649,0.071255,0.060362,0,PreScan,False
59.557673,45.169632,88.521284,1.032842,16.714055,0.062161,0.084173,0,PreScan,False
59.590369,45.129182,122.27705,2.35809,20.343759,1.831676,0.152616,0,PreScan,True
59.590987,45.190676,122.160113,2.355227,20.443103,1.869867,0.151206,0,PreScan,True
59.902348,38.896965,101.51989,2.700978,15.189143,0.194362,0.068337,0.023049,PreScan,False
60.002608,38.877831,101.661383,2.701792,15.194814,0.183337,0.072104,0.110545,PreScan,False
60.128388,39.924168,145.045468,3.273627,10.029648,0.043822,4,0.049517,PreScan,True
61.024178,46.171165,156.906596,3.283354,24.952753,0.186127,0.097363,0,PreScan,True
61.061845,40.312039,89.235632,2.436088,16.888345,0.349512,0.05967,0,PreScan,False
61.067957,40.311626,89.210896,2.436741,16.91008,0.342985,0.085033,0.005226,PreScan,False
61.169946,40.344649,92.819726,2.410588,17.628237,0.157657,0.07908,0.173314,PreScan,False
61.171052,40.347857,93.227099,2.410151,17.61776,0.15302,0.077768,0.40994,PreScan,False
61.182772,46.195399,160,3.34574,23.672606,0.019933,4,0,PreScan,True
61.707291,47.139749,159.844289,2.625042,22.559649,0.574464,0.049131,0,PreScan,True
61.904688,47.169716,159.847713,2.604305,22.485839,0.603031,0.048443,0,PreScan,True
61.968882,44.228373,130.546785,2.082311,20.197782,0.017635,4,0,PreScan,True
62.394492,43.083705,77.175901,1.301101,14.27135,0.044962,0.071561,0,PreScan,False
62.489234,43.120314,77.478573,1.296821,14.392756,0.066077,0.078634,0,PreScan,False
62.490219,43.119743,77.461435,1.296821,14.393907,0.066561,0.078513,0,PreScan,False
62.490405,43.119885,77.486476,1.296821,14.393418,0.06581,0.078487,0,PreScan,False
62.490432,43.119673,77.475562,1.296821,14.394145,0.065896,0.078364,0,PreScan,False
62.547237,47.974468,150.956285,1,24.99353,0.354526,0.039982,0,PreScan,True
62.597574,47.984526,150.963337,1,24.994502,0.37465,0.039833,0,PreScan,True
62.608047,47.974659,150.958336,1,24.979605,0.353158,0.040277,0,PreScan,True
62.81452,46.365698,120.259385,1.006057,24.083767,0.233701,0.061564,0,PreScan,True
62.825394,46.378022,120.695242,1,24.096249,0.233675,0.060573,0,PreScan,True
63.040007,41.693241,54.238498,3.177086,24.528248,0.074305,0.04428,0,PreScan,True
63.152689,48,160,1,25,0.104887,0.395783,0,PreScan,True
63.41231,41.771818,52.125438,3.214728,24.716161,0.08773,0.046072,0,PreScan,True
63.891782,41.721,55.754499,3.187441,24.693108,0.295001,0.047293,0,PreScan,True
64.293355,47.349015,151.300661,1,24.068148,0.216114,0.040953,0,PreScan,True
64.308562,47.354455,151.261761,1,23.995095,0.199656,0.043675,0,PreScan,True
64.410906,46.360901,115.310127,1,23.807251,0.065717,0.062641,0,PreScan,True
64.439723,46.393615,116.084653,1,23.805717,0.059209,0.062624,0,PreScan,True
65.542822,43.694204,112.980236,2.045707,23.625904,0.087359,0.041831,0,PreScan,True
65.686387,40.670929,56.464028,2.980367,21.359377,0.165476,0.074823,0,PreScan,True
65.734053,43.584509,151.571927,2.452102,14.041522,0.482304,0.082227,0.044231,PreScan,False
65.880846,43.874719,140.209859,2.491677,19.864355,0.093065,4,0,PreScan,True
65.902013,43.585354,151.886206,2.459132,14.11458,0.524747,0.080766,0.004063,PreScan,False
66.228266,45.75193,145.683353,2.237226,21.151408,0.593473,0.051506,0,PreScan,True
