id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
22,25.93314,48,133.55024,1.15307,10.32858,1.154105,0.177998,0,1,1,256.766863,303.75,-46.44976,1.15307,37.182878,0.096536,0.141951,0,1,1,0.3,0.154741,0
23,26.54018,48,127.25113,1,4.70985,8.189317,1.562824,0,1,0,256.159818,303.75,-52.748867,1,16.955442,0.478211,4,0,0,0,0.45,0.912408,1
24,27.17899,48,133.72547,1,10.42561,0.972495,0.141215,0,1,1,255.521015,303.75,-46.274534,1,37.532197,0.332256,0.141948,0,1,1,0.25,0.314291,0
25,27.25837,48,132.73495,1.10611,9.89915,1.28468,0.241571,0,1,0,255.441631,303.75,-47.265055,1.106114,35.636927,0.026225,4,0,0,1,0.4,0.089717,1
26,27.81021,46.72252,113.06277,1.15696,4.20832,14.071366,2.075312,0,0,0,254.889793,305.027483,-66.937231,1.156962,15.149937,0.376821,0.093786,0,1,1,0.15,0.883811,0
27,27.82651,46.73857,112.73103,1.09796,4.23446,9.468567,1.935669,0,1,0,254.873489,305.011431,-67.26897,1.097965,15.244058,0.386661,0.12819,0,1,1,0.35,1.008243,0
28,27.86782,46.57448,112.71573,1.06975,4.23583,8.302383,1.759308,0,1,0,254.832185,305.175517,-67.284269,1.069752,15.248972,0.186965,0.093782,0.02864,1,1,0.25,1.217443,0
29,28.35581,44.86419,125.84088,2.02462,4.62923,7.68293,1.272499,0,1,0,254.34419,306.885807,-54.159121,2.024621,16.665234,0.257824,4,0.043905,0,1,0.4,0.221214,1
30,28.4501,44.85573,125.33228,2.05347,4.66744,8.028708,4,0,0,0,254.249898,306.894267,-54.667724,2.053466,16.802801,0.196879,4,0.024928,0,1,0.75,0.179399,1
31,28.47191,44.85875,125.66547,2.01937,4.66328,7.676224,4,0,0,0,254.228095,306.891247,-54.33453,2.019373,16.787825,0.302425,4,0.648475,0,1,0.3,0.17381,1
32,28.55089,48,135.06486,1.1748,4.98235,9.25739,1.555791,0,1,0,254.149113,303.75,-44.935143,1.174797,17.936448,0.825553,0.575463,0,0,0,0.15,2.064313,1
33,29.00466,36.4266,54.39158,5,15.56934,3.023173,4,0.107305,0,0,253.695339,315.3234,-125.608416,5,56.04962,0.097355,4,0.044232,0,1,0.2,6.043134,1
34,30.54779,40.89036,124.83074,4.54179,8.60813,2.184076,0.219035,0,1,0,252.152214,310.859639,-55.16926,4.541785,30.989259,0.161761,4,0.02102,0,1,0.7,2.628568,1
