id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
234,50.714211,36.382308,82.86771,4.314697,18.022384,0.032301,0.079563,0.058638,1,1,231.985789,315.367692,-97.13229,4.314697,64.880582,6.967296,0.804969,0,1,0,0.2,11.631702,0
235,50.984192,45.171685,126.43293,1.852167,19.0824,0.146078,0.167365,0,0,1,231.715808,306.578315,-53.56707,1.852167,68.69664,0.488352,4,0,0,0,0.65,2.099478,1
236,50.984339,45.171526,126.446373,1.85217,19.081386,0.14566,0.167454,0,0,1,231.715661,306.578474,-53.553627,1.85217,68.69299,0.486735,4,0,0,0,0.55,2.09855,1
237,51.003026,45.159261,126.75307,1.851861,19.103581,0.132106,4,0,0,1,231.696974,306.590739,-53.24693,1.851861,68.772892,0.447535,4,0,0,0,0.55,2.092986,1
238,51.231422,41.816869,66.429918,1.412084,10.927088,0.577817,0.179858,0.012091,1,1,231.468578,309.933131,-113.570082,1.412084,39.337517,1.365579,0.374151,0.286301,1,1,0.2,5.1712,0
239,51.817039,45.010145,73.45761,1,12.675028,0.227515,0.080676,0,1,1,230.882961,306.739855,-106.54239,1,45.630101,0.21311,0.190119,0.927225,1,1,0.15,3.729533,0
240,51.819014,45.020803,73.47397,1,12.682683,0.237269,0.080947,0,1,1,230.880986,306.729197,-106.52603,1,45.657659,0.204787,0.105117,0.938899,1,1,0.2,3.72096,0
241,51.819925,45.010966,73.461423,1,12.685454,0.225757,0.081021,0,1,1,230.880075,306.739034,-106.538577,1,45.667634,0.209289,0.190119,0.941477,1,1,0.2,3.730091,0
242,51.819957,45.010419,73.461496,1,12.68538,0.225223,0.08102,0,1,1,230.880043,306.739581,-106.538504,1,45.667368,0.209726,0.286455,0.940998,1,1,0.15,3.730636,0
243,51.819995,45.011724,73.464244,1,12.675522,0.229274,0.080666,0,1,1,230.880005,306.738276,-106.535756,1,45.631879,0.214486,0.190119,0.918258,1,1,0.2,3.728424,0
244,51.922053,44.728185,73.151189,1,12.56069,0.013744,0.081487,0,1,1,230.777947,307.021815,-106.848811,1,45.218484,0.360797,0.238276,0.207776,1,1,0.25,3.973668,0
245,51.922054,44.7282,73.151311,1,12.560735,0.013691,0.081471,0,1,1,230.777946,307.0218,-106.848689,1,45.218646,0.556553,0.067826,0.207883,1,1,0.15,3.973668,0
246,52.817045,38.955165,67.800534,4.594131,23.43733,0.520011,0.046504,0.111467,0,1,229.882955,312.794835,-112.199466,4.594131,84.374388,5.476548,0.668208,0,1,0,0.15,6.240457,1
247,52.819383,38.941664,67.800347,4.593851,23.434767,0.507515,0.046539,0.092159,0,1,229.880617,312.808336,-112.199653,4.593851,84.365161,5.480499,0.643465,0,1,0,0.25,6.253302,1
248,52.839343,39.066842,68.072756,4.574769,23.347921,0.639789,0.046623,0.014366,0,1,229.860657,312.683158,-111.927244,4.574769,84.052516,5.684988,0.6973,0,1,0,0.25,6.183419,1
249,52.948845,39.271516,76.130446,4.543706,23.600206,0.853156,0.056652,0.002578,0,1,229.751155,312.478484,-103.869554,4.543706,84.960742,5.14563,0.575463,0,1,0,0.3,7.71076,1
250,53.204358,41.272474,85.584841,2.433306,17.148081,0.107614,0.062822,0.241149,1,1,229.495642,310.477526,-94.415159,2.433306,61.733092,2.692619,0.485313,0,1,0,0.1,8.049913,0
251,53.20718,41.272225,85.543085,2.433303,17.144088,0.119519,0.063486,0.037728,1,1,229.49282,310.477775,-94.456915,2.433303,61.718717,2.889639,0.419438,0,1,0,0.2,8.043594,0
252,53.211772,41.270157,85.534302,2.433391,17.148391,0.113179,0.06328,0.107325,1,1,229.488228,310.479843,-94.465698,2.433391,61.734208,2.886391,0.419438,0,1,0,0.15,8.044395,0
253,53.247771,44.827658,160,4.763589,17.536334,0.091786,4,0,0,1,229.452229,306.922342,-20,4.763589,63.130802,0.246201,4,0.544865,0,1,0.35,7.073834,1
254,53.484067,41.185873,86.916529,2.434751,17.15999,0.049888,0.068799,0.005712,1,1,229.215933,310.564127,-93.083471,2.434751,61.775964,2.654065,0.427952,0,1,0,0.2,8.338243,0
255,53.507164,38.596319,67.790034,4.598227,23.649604,0.20993,0.047934,0.254712,0,1,229.192836,313.153681,-112.209966,4.598227,85.138574,4.875982,0.643363,0,1,0,0.15,6.581502,1
256,53.514842,41.1931,86.924936,2.432453,17.201079,0.030872,0.064506,0.300814,1,1,229.185158,310.5569,-93.075064,2.432453,61.923884,2.636006,0.427952,0,1,0,0.2,8.333932,0
